DATE,steps,weight_kg,total_burned_kcal,calories_eaten,active_kcal,basal_kcal
2013-08-10,0.0,100.206,0.0,,0.0,0.0
2013-08-11,0.0,99.384,0.0,,0.0,0.0
2013-08-12,0.0,97.936,0.0,,0.0,0.0
2013-08-13,0.0,96.213,0.0,,0.0,0.0
2013-08-14,0.0,97.345,0.0,,0.0,0.0
2013-08-15,0.0,96.184,0.0,,0.0,0.0
2013-08-16,0.0,96.362,0.0,,0.0,0.0
2013-08-17,0.0,95.66,0.0,,0.0,0.0
2013-08-18,0.0,96.189,0.0,,0.0,0.0
2013-08-19,0.0,96.527,0.0,,0.0,0.0
2013-08-20,0.0,94.755,0.0,,0.0,0.0
2013-08-21,0.0,94.604,0.0,,0.0,0.0
2013-08-22,0.0,93.804,0.0,,0.0,0.0
2013-08-23,0.0,94.982,0.0,,0.0,0.0
2013-08-24,0.0,94.8,0.0,,0.0,0.0
2013-08-25,0.0,94.811,0.0,,0.0,0.0
2013-08-26,0.0,93.585,0.0,,0.0,0.0
2013-08-27,0.0,94.577,0.0,,0.0,0.0
2013-08-28,0.0,94.217,0.0,,0.0,0.0
2013-08-29,0.0,93.777,0.0,,0.0,0.0
2013-08-30,0.0,93.547,0.0,,0.0,0.0
2013-08-31,0.0,92.692,0.0,,0.0,0.0
2013-09-01,0.0,92.17,0.0,,0.0,0.0
2013-09-02,0.0,94.44,0.0,,0.0,0.0
2013-09-03,0.0,93.619,0.0,,0.0,0.0
2013-09-04,0.0,92.82,0.0,,0.0,0.0
2013-09-05,0.0,90.848,0.0,,0.0,0.0
2013-09-06,0.0,91.061,0.0,,0.0,0.0
2013-09-07,0.0,91.32,0.0,,0.0,0.0
2013-09-08,0.0,90.306,0.0,,0.0,0.0
2013-09-09,0.0,91.445,0.0,,0.0,0.0
2013-09-10,0.0,92.095,0.0,,0.0,0.0
2013-09-11,0.0,91.624,0.0,,0.0,0.0
2013-09-12,0.0,90.984,0.0,,0.0,0.0
2013-09-13,0.0,90.731,0.0,,0.0,0.0
2013-09-14,0.0,90.795,0.0,,0.0,0.0
2013-09-15,0.0,89.618,0.0,,0.0,0.0
2013-09-16,0.0,90.664,0.0,,0.0,0.0
2013-09-17,0.0,91.443,0.0,,0.0,0.0
2013-09-18,0.0,91.015,0.0,,0.0,0.0
2013-09-19,0.0,90.908,0.0,,0.0,0.0
2013-09-20,0.0,90.226,0.0,,0.0,0.0
2013-09-21,0.0,89.78,0.0,,0.0,0.0
2013-09-22,0.0,88.802,0.0,,0.0,0.0
2013-09-23,0.0,90.246,0.0,,0.0,0.0
2013-09-24,0.0,90.509,0.0,,0.0,0.0
2013-09-25,0.0,90.779,0.0,,0.0,0.0
2013-09-26,0.0,88.609,0.0,,0.0,0.0
2013-09-27,0.0,88.655,0.0,,0.0,0.0
2013-10-02,0.0,89.167,0.0,,0.0,0.0
2013-10-03,0.0,88.913,0.0,,0.0,0.0
2013-10-04,0.0,88.483,0.0,,0.0,0.0
2013-10-05,0.0,87.314,0.0,,0.0,0.0
2013-10-06,0.0,87.568,0.0,,0.0,0.0
2013-10-07,0.0,87.355,0.0,,0.0,0.0
2013-10-08,0.0,88.137,0.0,,0.0,0.0
2013-10-09,0.0,88.797,0.0,,0.0,0.0
2013-10-10,0.0,87.41,0.0,,0.0,0.0
2013-10-11,0.0,87.729,0.0,,0.0,0.0
2013-10-12,0.0,86.633,0.0,,0.0,0.0
2013-10-13,0.0,86.154,0.0,,0.0,0.0
2013-10-14,0.0,87.152,0.0,,0.0,0.0
2013-10-16,0.0,86.747,0.0,,0.0,0.0
2013-10-21,0.0,86.338,0.0,,0.0,0.0
2013-10-22,0.0,87.404,0.0,,0.0,0.0
2013-10-23,0.0,88.367,0.0,,0.0,0.0
2013-10-24,0.0,87.854,0.0,,0.0,0.0
2013-10-25,0.0,88.434,0.0,,0.0,0.0
2013-10-26,0.0,87.642,0.0,,0.0,0.0
2013-10-27,0.0,87.015,0.0,,0.0,0.0
2013-10-28,0.0,88.304,0.0,,0.0,0.0
2013-10-29,0.0,88.586,0.0,,0.0,0.0
2013-10-30,0.0,88.273,0.0,,0.0,0.0
2013-10-31,0.0,86.543,0.0,,0.0,0.0
2013-11-01,0.0,86.32,0.0,,0.0,0.0
2013-11-02,0.0,84.979,0.0,,0.0,0.0
2013-11-03,0.0,85.973,0.0,,0.0,0.0
2013-11-05,0.0,85.956,0.0,,0.0,0.0
2013-11-06,0.0,86.587,0.0,,0.0,0.0
2013-11-07,0.0,85.996,0.0,,0.0,0.0
2013-11-08,0.0,86.069,0.0,,0.0,0.0
2013-11-09,0.0,85.398,0.0,,0.0,0.0
2013-11-10,0.0,84.866,0.0,,0.0,0.0
2013-11-13,0.0,87.677,0.0,,0.0,0.0
2013-11-16,0.0,86.177,0.0,,0.0,0.0
2013-11-17,0.0,84.907,0.0,,0.0,0.0
2013-11-27,0.0,87.277,0.0,,0.0,0.0
2013-11-30,0.0,86.525,0.0,,0.0,0.0
2013-12-01,0.0,85.184,0.0,,0.0,0.0
